Species Name,Latitude,Longitude,Day,Month,Year,Local Time,Location Name,Loc Reliability,Sp Code,ID Reliability,Min. Number of Animals,Max. Number of Animals,Animal Condition,Platform,Type of Sighting,Type of Gear,Target Species,Strand or Entrapment Outcome,Depth (m),Distance From Obs (m),Discard Wt (kg)
Leatherback Turtle,42.45,-65.7333,1,8,2024,20:10,Offshore,1,9701,1,1,1,Alive,Fishing Vessel,Free Swimming,,,,,50,
Leatherback Turtle,47.7667,-59.3667,2,8,2024,8:20,Offshore,1,9701,1,1,1,Alive,Fishing Vessel,Free Swimming,,,,,,
Leatherback Turtle,47.5063,-59.0527,10,8,2024,10:30,off Margaree,2,9701,1,2,2,Alive,Fishing Vessel,Free Swimming,,,,200,,
Leatherback Turtle,42.5833,-65.75,19,8,2024,,Offshore,1,9701,1,1,1,Alive,Fishing Vessel,Free Swimming,,,,,100,
Leatherback Turtle,47.2322,-61.516,19,8,2024,,Quebec Region,1,9701,1,1,1,Alive,Fishing Vessel,Entrapment,Trawl,Groundfish,Alive,50,,
Leatherback Turtle,53.9297,-56.5368,28,8,2024,,Gannet Islands,2,9701,1,1,1,Dead,Fishing Vessel,Entrapment,Pot,Crab,Dead,50,,
Leatherback Turtle,48.1453,-52.8293,31,8,2024,,off  Baccalieu Island,2,9701,1,1,1,Alive,Fishing Vessel,Free Swimming,,,,100,,
Leatherback Turtle,47.0678,-62.4715,,8,2024,,Quebec Region,1,9701,1,1,1,Alive,Fishing Vessel,Free Swimming,,,,100,,
Leatherback Turtle,47.0833,-55.8483,,8,2024,,Burin,2,9701,1,1,1,Alive,Fishing Vessel,Free Swimming,,,,50,,
Leatherback Turtle,46.9596,-52.7745,,8,2024,,Fermeuse,2,9701,1,1,1,Alive,Fishing Vessel,Free Swimming,,,,200,,
Leatherback Turtle,47.4,-55.58,,8,2024,,Boxey Point  Connaigra Penninsula,2,9701,1,1,1,Alive,Fishing Vessel,Free Swimming,,,,,,
Leatherback Turtle,46.8828,-54.2814,,8,2024,,Cape St. Mary's,2,9701,1,2,2,Alive,Fishing Vessel,Free Swimming,,,,50,,
Leatherback Turtle,47.6007,-58.697,,8,2024,,Rose Blanche,2,9701,1,5,5,Alive,Fishing Vessel,Free Swimming,,,,50,,
Leatherback Turtle,47.6013,-58.698,,8,2024,,Near Rose Blanche,1,9701,1,1,1,Alive,Fishing Vessel,Entrapment,Gillnet,Groundfish,Alive,50,,
Leatherback Turtle,46.91,-56.07,8,9,2024,,Between St. Pierre and Fortune,2,9701,1,1,1,Alive,Ferry,Free Swimming,,,,,,
Leatherback Turtle,49.4772,-55.5158,12,9,2024,8:00,near Leading Tickles  Notre Dame Bay,1,9701,1,1,1,Alive,Shore,Entrapment,Gillnet,Groundfish,Alive,200,100,
Leatherback Turtle,49.6535,-55.4012,16,9,2024,,Leading Tickles  NDB,2,9701,1,1,1,Alive,Fishing Vessel,Entrapment,Gillnet,Groundfish,Alive,400,,
Leatherback Turtle,48.8754,-53.6547,19,9,2024,,St. Brendan's,1,9701,1,1,1,Dead,Shore,Stranding,,,Dead,0,,
Leatherback Turtle,49.7088,-54.293,23,9,2024,,Fogo Island,1,9701,1,1,1,Alive,Fishing Vessel,Free Swimming,,,,50,,
Leatherback Turtle,47.45,-61.6167,24,9,2024,,Quebec Region,1,9701,1,1,1,Alive,Patrol Vessel,Free Swimming,,,,50,,
Leatherback Turtle,47.1318,-51.1262,25,9,2024,,Offshore,1,9701,1,1,1,Alive,Fishing Vessel,Free Swimming,,,,,,
Leatherback Turtle,46.6083,-52.3967,25,9,2024,16:00,Off Cape Race,1,9701,1,1,1,Alive,Fishing Vessel,Free Swimming,,,,200,,
Leatherback Turtle,47.56,-53.1,,9,2024,,Conception Bay,1,9701,1,1,1,Alive,Sailboat,Free Swimming,,,,90,150,
Leatherback Turtle,50.0721,-61.785,,9,2024,,Natashquan  QC,2,9701,1,1,1,Alive,Fishing Vessel,Free Swimming,,,,100,,
Leatherback Turtle,47.1169,-55.0359,,9,2024,,off Marystown,2,9701,1,1,1,Alive,Fishing Vessel,Free Swimming,,,,200,,
Leatherback Turtle,47.2817,-54.0514,,9,2024,,Placentia Bay,1,9701,1,1,1,Alive,Small boat,Free Swimming,,,,50,,
Leatherback Turtle,47.1343,-55.7632,1,10,2024,,off Grand Bank,2,9701,1,1,1,Alive,Fishing Vessel,Free Swimming,,,,100,,
Leatherback Turtle,47.1114,-55.8667,2,10,2024,,off Fortune,2,9701,1,1,1,Alive,Fishing Vessel,Free Swimming,,,,200,,
Leatherback Turtle,48.3908,-53.2901,4,10,2024,,Champney's Cove West  TB (Port Rexton),1,9701,1,1,1,Dead,Shore,Stranding,,,Dead,0,,
Leatherback Turtle,48.3908,-53.2901,7,10,2024,,Champney's Cove West  TB (Port Rexton),1,9701,1,1,1,Dead,Shore,Stranding,,,Dead,0,,
Leatherback Turtle,46.8966,-55.9195,11,10,2024,,Point May  Burin Penn.,1,9701,1,1,1,Dead,Shore,Stranding,,,Dead,0,,
Leatherback Turtle,46.9237,-55.388,26,10,2024,,St. Lawrence,1,9701,1,1,1,Dead,Shore,Stranding,,,Dead,0,,
Leatherback Turtle,48.6475,-58.8428,12,11,2024,,Picadilly  Port au Port Peninsula,1,9701,1,1,1,Dead,Shore,Stranding,,,Dead,0,,
Leatherback Turtle,46.1187,-58.6269,,,2024,,off Rose Blanche,2,9701,1,1,1,Alive,Fishing Vessel,Free Swimming,,,,400,,
Leatherback Turtle,46.4431,-55.5582,,,2024,,Lawn,2,9701,1,1,1,Alive,Fishing Vessel,Free Swimming,,,,200,,
Leatherback Turtle,47.4015,-55.5734,,,2024,,off Boxey Point,2,9701,1,1,1,Alive,Fishing Vessel,Free Swimming,,,,100,,
Leatherback Turtle,47.4553,-56.0303,,,2024,,Seal Cove  Hermitage Bay,2,9701,1,1,1,Alive,Fishing Vessel,Free Swimming,,,,50,,
Leatherback Turtle,47.0217,-52.6441,,,2024,,off Ferryland,2,9701,1,1,1,Alive,Fishing Vessel,Free Swimming,,,,200,,
Leatherback Turtle,48.1392,-52.0426,,,2024,,off  Baccalieu Island,2,9701,1,2,2,Alive,Fishing Vessel,Free Swimming,,,,200,,
Leatherback Turtle,47.9015,-53.5426,,,2024,,Trinity Bay,2,9701,1,2,2,Alive,Fishing Vessel,Free Swimming,,,,400,,
Leatherback Turtle,46.7502,-57.7288,,,2024,,off Burgeo Bank,2,9701,1,3,3,Alive,Fishing Vessel,Free Swimming,,,,400,,
Leatherback Turtle,48.095,-48.8508,19,5,2024,14:05,SHAWINIGAN,2,9701,2,1,1,Dead,Military Vessel,Unknown,,,Dead,,,
Unknown Turtle,43.7443,-62.6,5,6,2024,21:45,Offshore,2,20,2,5,5,Alive,Military Vessel,Free Swimming,,,,,,
Green Turtle,42.5167,-61.4333,7,6,2024,,,1,9703,1,1,1,Alive,Offshore Industry Platform,Free Swimming,,,,,100,
Unknown Turtle,41.4783,-66.0933,15,6,2024,12:50,Offshore,2,20,2,1,1,Alive,Fishing Vessel,Free Swimming,,,,,,
